poly_chemprop_input,lamellar,cylinder,sphere,gyroid,disordered
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-3:0.25:0.25<4-4:0.25:0.25<5-5:0.25:0.25<6-6:0.25:0.25<3-4:0.25:0.25<3-5:0.25:0.25<3-6:0.25:0.25<4-5:0.25:0.25<4-6:0.25:0.25<5-6:0.25:0.25~1.0,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-3:0.25:0.25<4-4:0.25:0.25<5-5:0.25:0.25<6-6:0.25:0.25<3-4:0.25:0.25<3-5:0.25:0.25<3-6:0.25:0.25<4-5:0.25:0.25<4-6:0.25:0.25<5-6:0.25:0.25~1.0,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-3:0.25:0.25<4-4:0.25:0.25<5-5:0.25:0.25<6-6:0.25:0.25<3-4:0.25:0.25<3-5:0.25:0.25<3-6:0.25:0.25<4-5:0.25:0.25<4-6:0.25:0.25<5-6:0.25:0.25~1.0,1,0,0,0,0
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-3:0.25:0.25<4-4:0.25:0.25<5-5:0.25:0.25<6-6:0.25:0.25<3-4:0.25:0.25<3-5:0.25:0.25<3-6:0.25:0.25<4-5:0.25:0.25<4-6:0.25:0.25<5-6:0.25:0.25~1.0,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-3:0.25:0.25<4-4:0.25:0.25<5-5:0.25:0.25<6-6:0.25:0.25<3-4:0.25:0.25<3-5:0.25:0.25<3-6:0.25:0.25<4-5:0.25:0.25<4-6:0.25:0.25<5-6:0.25:0.25~1.0,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-3:0.25:0.25<4-4:0.25:0.25<5-5:0.25:0.25<6-6:0.25:0.25<3-4:0.25:0.25<3-5:0.25:0.25<3-6:0.25:0.25<4-5:0.25:0.25<4-6:0.25:0.25<5-6:0.25:0.25~1.0,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-3:0.25:0.25<4-4:0.25:0.25<5-5:0.25:0.25<6-6:0.25:0.25<3-4:0.25:0.25<3-5:0.25:0.25<3-6:0.25:0.25<4-5:0.25:0.25<4-6:0.25:0.25<5-6:0.25:0.25~1.0,0,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-3:0.25:0.25<4-4:0.25:0.25<5-5:0.25:0.25<6-6:0.25:0.25<3-4:0.25:0.25<3-5:0.25:0.25<3-6:0.25:0.25<4-5:0.25:0.25<4-6:0.25:0.25<5-6:0.25:0.25~1.0,0,0,0,0,1
[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:1.0:1.0~1.0,0,0,1,0,0
[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:1.0:1.0~1.0,0,0,1,0,0
[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:1.0:1.0~1.0,0,0,1,0,0
[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:1.0:1.0~1.0,0,0,1,0,0
[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:1.0:1.0~1.0,0,0,1,0,0
[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:1.0:1.0~1.0,0,1,1,0,0
[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:1.0:1.0~1.0,0,0,1,0,0
[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:1.0:1.0~1.0,0,1,1,0,0
[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:1.0:1.0~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,1,0,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCC(CC)CCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,1,0,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,1,0,0,0,0
